segment,shot_id,shot_type,device,action,on_screen_proof,speaker,acceptance_gate
ceo-open,V01-S1,wide,All,"Dark studio. Craig stands beside the plinth with all four devices. Mesh loop breathes on the wall. Large THOX logo panel camera left.","Full family visible",None,"All four public products in frame"
ceo-open,V01-S2,mcu,Talent,"Craig to camera.","Locked script line",Craig,"Line delivered verbatim"
ceo-open,V01-S3,macro,All,"Pan left to right across the lineup, ThoxKey to ThoxClip, focus pulling device to device.","Each device held in focus",Craig,"No retired hardware in frame"
ceo-open,V01-S4,cu,Talent,"Craig to camera.","Locked script line",Craig,"No prohibited claims added"
ceo-open,V01-S5,orbit,All,"Orbit the plinth. Xolonium name cards fade in per device as camera passes: ThoxKey, ThoxMini Air, ThoxMini, ThoxClip.","Correct product names on cards",Craig,"Naming matches approved list"
ceo-open,V01-S6,graphic,None,"Cut to black. THOX.ai logo resolve with emerald sweep. Tagline lockup beneath.","Logo and tagline lockup",None,"Brand fonts and emerald only"
ecosystem,V02-S1,render,ThoxKey,"ThoxKey rotates on black. Xolonium name card: ThoxKey.","Latest ID render",None,"Supersedes older renders"
ecosystem,V02-S2,render,ThoxMini Air,"ThoxMini Air rotates. Name card: ThoxMini Air.","Latest ID render",None,"Correct name spelling"
ecosystem,V02-S3,render,ThoxMini,"ThoxMini rotates. Name card: ThoxMini. Device face branding reads ThoxMini.","Device branding reads ThoxMini",None,"Matches latest USB-C stick ID"
ecosystem,V02-S4,render,ThoxClip,"ThoxClip rotates. Name card: ThoxClip.","Latest ID render",None,"Correct name spelling"
ecosystem,V02-S5,graphic,All,"All four devices arrange into a lineup. Emerald mesh lines draw between them.","Mesh lines connect all four",VO,"Emerald palette only"
ecosystem,V02-S6,screen,ThoxOS Mini,"ThoxOS Mini interface wall: Dashboard, Models, Projects glide past.","ThoxOS Mini lockup visible",VO,"Dark theme UI only"
ecosystem,V02-S7,graphic,All,"Full lineup plus tagline lockup.","Tagline lockup",VO,"Tagline verbatim"
cto-intro,V03-S1,follow,Mixed,"Tommy walks into the workspace and lands at the desk. Every machine is awake.","Multi-OS desk plus all THOX devices",None,"No third-party branding readable"
cto-intro,V03-S2,mcu,Talent,"Tommy introduces himself.","Locked script line",Tommy,"Line delivered verbatim"
cto-intro,V03-S3,overhead,Mixed,"Top-down of the desk. Inter callout labels tag each machine and each THOX device.","Callout labels correct",Tommy,"Foreshadows MeshStack without claims"
cto-intro,V03-S4,insert,ThoxKey,"Tommy picks up ThoxKey off the desk. Match cut into V04 S1 macro.","ThoxKey in hand",Tommy,"Continuity with V04"
thoxkey,V04-S1,macro,ThoxKey,"Keys drop onto the table. ThoxKey sits among them. Retractable USB deploys in slow motion.","Retractable USB mechanism",None,"Matches latest ID"
thoxkey,V04-S2,macro,ThoxKey,"Insert into the MacBook port. Camera rides the move.","Clean insertion",None,"No credentials visible on host"
thoxkey,V04-S3,screen,ThoxKey,"The ThoxKey local AI workspace launches from the host. Local model loads with a progress ring. Caption: Data stays on your devices.","Local profile active, no cloud UI",None,"Approved claim wording only"
thoxkey,V04-S4,mcu,ThoxKey,"Tommy holds ThoxKey to camera.","Locked script line",Tommy,"Line delivered verbatim"
thoxkey,V04-S5,screen,ThoxKey,"Documents app: open a proposal PDF. Prompt: Summarize this. Response streams.","Summary streams locally",Tommy,"Demo data only"
thoxkey,V04-S6,screen,ThoxKey,"Conversations: request a code snippet. Result renders in JetBrains Mono, copied into an editor.","Code generation on device",Tommy,"No model name claims"
thoxkey,V04-S7,screen,ThoxKey,"Inline translate: English paragraph to Japanese.","Translation completes",Tommy,"Demo data only"
thoxkey,V04-S8,screen,ThoxKey,"Documents: generate a slide outline. Slide previews populate.","Deck outline generated",Tommy,"No cloud dependency implied"
thoxkey,V04-S9,macro,ThoxKey,"Unplug. USB retracts. ThoxKey slides into a jeans pocket.","Retract mechanism",None,"Matches latest ID"
thoxkey,V04-S10,lifestyle,ThoxKey,"Pocket walk, backpack zip, cafe table beside a laptop, office lanyard.","Portability story",None,"No city or state identifiable"
thoxkey,V04-S11,product,ThoxKey,"Three colorways on black acrylic: Matte Black, Space Gray, Arctic White. Name card plus theme line: Personal AI, Pocket Sized.","Three production colors",None,"Approved colorway names"
thoxkey,V04-S12,render,ThoxKey,"Hero rotate. ThoxKey lockup.","Product lockup",None,"Brand fonts only"
thoxmini-air,V05-S1,product,ThoxMini Air,"ThoxMini Air glides into frame on black.","Latest ID render match",None,"Correct name on card"
thoxmini-air,V05-S2,screen,MeshStack,"Laptop: THOX.ai MeshStack app, Pair scene. LAN discovery finds ThoxMini Air. Pairing code confirm. Connected toast. Caption: Works offline on LAN after pairing.","Nearby device pairs over LAN",None,"Approved claim wording only"
thoxmini-air,V05-S3,mcu,ThoxMini Air,"Tommy beside the setup.","Locked script line",Tommy,"Line delivered verbatim"
thoxmini-air,V05-S4,screen,ThoxOS Mini,"Projects: the exact project from V04 opens. Caption: Pick up where you left off.","Continuity with ThoxKey project",Tommy,"Same project name as V04"
thoxmini-air,V05-S5,screen,ThoxOS Mini,"Image generation prompt. Grid renders progressively.","Image generation local",Tommy,"No benchmark numbers"
thoxmini-air,V05-S6,screen,ThoxOS Mini,"Spreadsheet dropped into Files. Analysis summary plus chart.","Analysis output",Tommy,"Demo data only"
thoxmini-air,V05-S7,screen,ThoxOS Mini,"Coding session: agent applies an edit, tests pass tick.","Agent edit plus green tests",Tommy,"No external service visible"
thoxmini-air,V05-S8,screen,ThoxOS Mini,"Documents: polish the presentation from V04.","Deck continuity",Tommy,"Continuity with V04 S8"
thoxmini-air,V05-S9,lifestyle,ThoxMini Air,"Airport gate, hotel desk, cafe window. ThoxMini Air beside the laptop each time.","Work-in-motion story",None,"No identifiable signage"
thoxmini-air,V05-S10,screen,MeshStack,"A second node pulse appears at the edge of the ThoxOS Mini screen.","Mesh tease only",Tommy,"No fabric claims yet"
thoxmini-air,V05-S11,render,ThoxMini Air,"Hero rotate. ThoxMini Air lockup plus theme line: Work in Motion.","Product lockup",None,"Brand fonts only"
thoxmini,V06-S1,wide,ThoxMini,"Beautiful desktop setup. The ThoxMini stick glows on its stand beside the monitor, USB-C connected. Face branding reads ThoxMini.","Device branding reads ThoxMini",None,"Latest USB-C stick ID confirmed"
thoxmini,V06-S2,macro,ThoxMini,"Chassis line, status LED pulse, USB-C connection macro. The preflashed ThoxOS Mini microSD seats with a click.","USB-C stick plus microSD detail",None,"No part-level disclosure"
thoxmini,V06-S3,mcu,ThoxMini,"Tommy turns from the screen.","Locked script line",Tommy,"Line delivered verbatim"
thoxmini,V06-S4,screen,ThoxOS Mini,"The desk machine opens the ThoxMini workspace over the local network. App Launcher grid overview.","App Launcher visible",Tommy,"Dark theme UI"
thoxmini,V06-S5,screen,ThoxOS Mini,"Models: browse installed models, switch model for the task.","Model switcher",Tommy,"No performance numbers"
thoxmini,V06-S6,screen,ThoxOS Mini,"Terminal: large repo open, agent run scrolls in JetBrains Mono.","Terminal agent run",Tommy,"Demo repo only"
thoxmini,V06-S7,screen,ThoxOS Mini,"Image generation batch fills a grid.","Batch render",Tommy,"No benchmark numbers"
thoxmini,V06-S8,screen,ThoxOS Mini,"Documents: long research doc with references pane.","Long-form navigation",Tommy,"Demo content only"
thoxmini,V06-S9,screen,ThoxOS Mini,"Automation: create a rule, summarize a folder nightly. Sandbox: run a script in an isolated pane.","Automation rule plus sandbox run",Tommy,"Isolation framing accurate"
thoxmini,V06-S10,coverage,ThoxMini,"Over-shoulder UI, overhead desk, lifestyle wide, macro UI scroll.","Coverage variety",None,"Continuity with S1 set"
thoxmini,V06-S11,product,ThoxMini,"A second ThoxMini enters frame beside the first. LEDs sync pulse. A single mesh line draws between them.","Mesh tease only",Tommy,"No fabric claims yet"
thoxmini,V06-S12,render,ThoxMini,"Hero rotate. ThoxMini lockup plus theme line: Your Dedicated AI Workspace.","Product lockup",None,"Brand fonts only"
thoxclip,V07-S1,lifestyle,ThoxClip,"Tommy attaches ThoxClip to the back of his phone on the way out the door. Alt take: lanyard wear.","Phone-attached companion",None,"No official accessory claim"
thoxclip,V07-S2,mcu,ThoxClip,"Tommy to camera while walking.","Locked script line",Tommy,"Line delivered verbatim"
thoxclip,V07-S3,insert,ThoxClip,"Tap gesture. LED acknowledges.","Voice capture reminder",Tommy,"No confidential content spoken"
thoxclip,V07-S4,wide,ThoxClip,"ThoxClip on the table during a meeting. End-of-meeting tap. Caption: Meeting summary captured.","Meeting summary beat",None,"No PII in frame"
thoxclip,V07-S5,insert,ThoxClip,"Quick idea capture from the driver seat. Car is parked.","Capture on the go",Tommy,"Vehicle visibly parked"
thoxclip,V07-S6,follow,ThoxClip,"Walking a busy floor. Capture a follow-up task after a conversation.","Task capture beat",None,"No third-party branding readable"
thoxclip,V07-S7,insert,ThoxClip,"Hands busy at a workbench. Voice capture without stopping work.","Hands-free capture",None,"Safe workshop practice shown"
thoxclip,V07-S8,screen,ThoxOS Mini,"Back at the desk: ThoxOS Mini inbox shows the reminder, the meeting summary, the tasks, and the ideas, all synced. Caption: Everything appears later in ThoxOS.","Captured items synced",Tommy,"Continuity with capture beats"
thoxclip,V07-S9,macro,ThoxClip,"Clip mechanism close-up, phone attach, clothing attach, slow rotate.","Mechanism beauty",None,"No internal hardware disclosure"
thoxclip,V07-S10,product,ThoxClip,"ThoxClip colorways on a stand. Name card plus theme line: Capture Every Thought.","Colorway lineup",None,"Approved colorway names"
thoxclip,V07-S11,render,ThoxClip,"Hero rotate. ThoxClip lockup.","Product lockup",None,"Brand fonts only"
unified,V08-S1,wide,ThoxMini,"8:04 AM on a desk clock. ThoxMini session: research pane plus code pane on the monitor.","Project card visible",VO,"Neutral demo project name"
unified,V08-S2,screen,ThoxOS Mini,"Project card: Aurora Proposal. Task list half checked.","Continuity anchor",None,"Same project everywhere"
unified,V08-S3,lifestyle,ThoxMini Air,"Packing up. ThoxMini Air slides into a bag sleeve.","Transition beat",VO,"No signage readable"
unified,V08-S4,screen,ThoxMini Air,"Hotel desk: ThoxMini Air pairs to the laptop. Aurora Proposal opens exactly where it left off. Caption: Continue instantly.","Instant continuation",None,"LAN pairing framing"
unified,V08-S5,insert,ThoxKey,"A different machine at a cafe. ThoxKey inserts. Same workspace loads. Caption: Same workspace. Any machine.","Workspace portability",None,"No credentials visible"
unified,V08-S6,insert,ThoxClip,"ThoxClip tap while walking.","Capture beat",Tommy,"Continuity with S7"
unified,V08-S7,screen,ThoxMini,"ThoxMini at home: Aurora Proposal now contains the new offline-mode section note plus captured tasks. A timeline strip shows the day of device handoffs.","Synced additions visible",VO,"Continuity across all beats"
unified,V08-S8,graphic,All,"Four panels recap the day: ThoxMini, ThoxMini Air, ThoxKey, ThoxClip active moments.","Four-device recap",None,"All names correct"
unified,V08-S9,graphic,All,"Captions land one by one: Nothing copied manually. Nothing emailed. No interruption.","Locked caption set",None,"Caption wording verbatim"
unified,V08-S10,graphic,MeshStack,"Final caption: Works offline on LAN after pairing. A faint mesh shimmer previews V10.","Approved claim caption",None,"Approved claim wording only"
thoxos-mini,V09-S1,screen,ThoxOS Mini,"Dashboard overview.","Dashboard",VO,"Dark theme UI"
thoxos-mini,V09-S2,screen,ThoxOS Mini,"Installed Models plus the model switcher.","Models view",VO,"No benchmark numbers"
thoxos-mini,V09-S3,screen,ThoxOS Mini,"Conversations and Projects side by side.","Conversations, Projects",VO,"Demo content only"
thoxos-mini,V09-S4,screen,ThoxOS Mini,"Files and Documents.","Files, Documents",VO,"Demo content only"
thoxos-mini,V09-S5,screen,ThoxOS Mini,"Agents executing a multi-step task, steps ticking.","Agent run",VO,"No autonomy overclaims"
thoxos-mini,V09-S6,screen,ThoxOS Mini,"Marketplace and Extensions, one install completes.","Marketplace, Extensions",VO,"No third-party marks"
thoxos-mini,V09-S7,screen,ThoxOS Mini,"Terminal plus Developer Mode toggle.","Terminal, Developer Mode",VO,"Demo repo only"
thoxos-mini,V09-S8,screen,ThoxOS Mini,"Automation rules plus the Memory panel.","Automation, Memory",VO,"Accurate memory framing"
thoxos-mini,V09-S9,screen,ThoxOS Mini,"Sandbox executes an untrusted script in an isolated pane.","Sandbox isolation",VO,"Isolation framing accurate"
thoxos-mini,V09-S10,screen,ThoxOS Mini,"Security, Logs, Updates in sequence. Caption: Data stays on your devices.","Security, Logs, Updates",VO,"Approved claim wording only"
thoxos-mini,V09-S11,screen,ThoxOS Mini,"Settings quick pass.","Settings",VO,"Dark theme UI"
thoxos-mini,V09-S12,screen,ThoxOS Mini,"LAN Discovery, then Device Manager, then Mesh Manager reveal.","Connectivity cluster",Tommy,"Role labels: Origin or Lead Device only"
thoxos-mini,V09-S13,graphic,ThoxOS Mini,"ThoxOS Mini lockup on black.","Product lockup",None,"Brand fonts only"
meshstack,V10-S1,screen,ThoxMini,"A single ThoxMini runs a long local job. Progress bar crawls. Tommy watches.","Single-node baseline",Tommy,"No benchmark numbers"
meshstack,V10-S2,screen,MeshStack,"Scene: Identity. MeshStack app first run on the laptop. Create your mesh identity; keys generated on device. Caption: Data stays on your devices.","Identity created on device",Tommy,"Five-scene order holds"
meshstack,V10-S3,screen,MeshStack,"Scene: Pair. LAN discovery finds ThoxMini Air. Pairing code confirm. A new node joins the graph with a link pulse.","LAN discovery pairing",Tommy,"Local-first flow clear"
meshstack,V10-S4,screen,ThoxClip,"Scene: Connect. ThoxClip joins; its captured tasks route into the mesh inbox. Encrypted links draw between nodes.","Connected nodes, encrypted links",Tommy,"Accurate role framing"
meshstack,V10-S5,screen,MeshStack,"THE BRANCH, still Pair. MacBook close-up: the THOX.ai MeshStack app is open. Join Mesh. Pairing code entered. A node labeled MacBook Pro appears in the graph.","Non-THOX device joins the mesh",Tommy,"App branding: THOX.ai MeshStack"
meshstack,V10-S6,screen,MeshStack,"Windows PC joins via the MeshStack app. Node appears.","Windows node joins",Tommy,"No OS vendor marketing claims"
meshstack,V10-S7,screen,MeshStack,"Phone: MeshStack app pairing flow, joins. Node appears. Caption: MeshStack app on iOS, iPadOS, Android, macOS, and Windows.","Mobile node joins",Tommy,"Platform list verbatim"
meshstack,V10-S8,screen,MeshStack,"Scene: Monitor. Device Manager fleet list: ThoxMini (Lead Device), ThoxMini Air, ThoxClip, ThoxKey host, MacBook Pro, Windows PC, iPhone. Status column: Online, Encrypted.","Mixed fleet visible",None,"Role label Lead Device, not Coordinator"
meshstack,V10-S9,screen,MeshStack,"Scene: Chat. Tommy asks his Personal AI a question from the iPhone MeshStack app. The reply streams; across the room the ThoxMini status LED works. Caption: Your phone asks. Your devices answer.","Chat answered by a THOX device over the mesh",Tommy,"No cloud step shown"
meshstack,V10-S10,screen,MeshStack,"Optional stretch tease: the long job from S1 redistributes across nodes and visibly accelerates. Caption: Mesh Cluster Mode beta. Unlocks at the $1.0M stretch goal.","Stretch unlock labeled on screen",None,"Stretch framing explicit"
meshstack,V10-S11,graphic,MeshStack,"Nodes, encrypted links, one interface pane. Captions land in sequence: Uses the WireGuard protocol. Coordinator never sees plaintext. Works offline on LAN after pairing.","Three approved claims on screen",None,"Claim wording verbatim"
meshstack,V10-S12,mcu,MeshStack,"Tommy to camera at the full desk.","Locked script line",Tommy,"Line delivered verbatim"
meshstack,V10-S13,graphic,MeshStack,"Build. Don't Replace. motif: nodes stack and expand.","Campaign motif",None,"Motif wording verbatim"
meshstack,V10-S14,graphic,MeshStack,"Card: 12 months MeshStack Pro included with every hardware pledge.","Offer matches rewards",None,"Offer wording matches campaign page"
meshstack,V10-S15,graphic,MeshStack,"MeshStack logo resolve, emerald on black.","Product lockup",None,"Emerald mark, no purple"
user-stories,V11-S1,lifestyle,ThoxMini,"Developer: ThoxMini plus laptop, terminal glow.","Developer vignette",None,"Demo code only"
user-stories,V11-S2,lifestyle,ThoxMini Air,"Designer: ThoxMini Air beside a tablet, image generation grid.","Designer vignette",None,"Original artwork only"
user-stories,V11-S3,lifestyle,ThoxKey,"Teacher: ThoxKey in a classroom laptop, lesson outline.","Teacher vignette",None,"No minors identifiable"
user-stories,V11-S4,lifestyle,ThoxClip,"Doctor: generic note-taking with ThoxClip. No patient data anywhere on screen.","Generic notes only",None,"No HIPAA implication, no PHI props"
user-stories,V11-S5,lifestyle,ThoxMini,"Researcher: ThoxMini, long document plus citations pane.","Researcher vignette",None,"Demo content only"
user-stories,V11-S6,lifestyle,ThoxMini Air,"Small business owner: ThoxMini Air at a shop counter, spreadsheet summary.","SMB vignette",None,"No signage readable"
user-stories,V11-S7,lifestyle,ThoxKey,"Student: ThoxKey in a library laptop.","Student vignette",None,"No institution identifiable"
user-stories,V11-S8,lifestyle,Mixed,"Traveler: ThoxMini Air plus ThoxClip at an airport gate.","Traveler vignette",None,"No airline branding"
user-stories,V11-S9,graphic,MeshStack,"Nine vignettes tile into a grid. Mesh lines connect them.","Grid connect",VO,"Emerald palette only"
user-stories,V11-S10,graphic,None,"THOX.ai lockup.","Brand lockup",None,"Brand fonts only"
cto-close,V12-S1,mcu,Talent,"Tommy at the hero desk, mesh alive behind him.","Locked script line",Tommy,"Line delivered verbatim"
cto-close,V12-S2,cu,Talent,"Beat, slight smile.","Tagline delivered",Tommy,"Tagline verbatim"
ceo-close,V13-S1,cu,Talent,"Craig to camera.","Locked script line",Craig,"Line delivered verbatim"
ceo-close,V13-S2,cu,Talent,"Craig closes.","Locked script line",Craig,"Line delivered verbatim"
ceo-close,V13-S3,wide,All,"All four devices on black acrylic. Mesh network visualization behind. Large monitor shows ThoxOS Mini.","Full family plus fabric plus UI",None,"All naming correct"
ceo-close,V13-S4,graphic,None,"Tagline animation, then CTA card: Back us on Kickstarter. Launches July 9, 2026. Small print: Manufactured by THOX.ai LLC.","CTA with locked date and manufacturer line",None,"CTA verb and launch date verbatim"
